HDR,ROLLING SYSTEM DEMAND
VD,20211016000000,23256
VD,20211016000500,23285
VD,20211016001000,23175
VD,20211016001500,23064
VD,20211016002000,23039
VD,20211016002500,22991
VD,20211016003000,22937
VD,20211016003500,23105
VD,20211016004000,23123
VD,20211016004500,23186
VD,20211016005000,23213
VD,20211016005500,23165
VD,20211016010000,23086
VD,20211016010500,23007
VD,20211016011000,22980
VD,20211016011500,22908
VD,20211016012000,22844
VD,20211016012500,22781
VD,20211016013000,22711
VD,20211016013500,22655
VD,20211016014000,22646
VD,20211016014500,22566
VD,20211016015000,22449
VD,20211016015500,22360
VD,20211016020000,22368
VD,20211016020500,22417
VD,20211016021000,22417
VD,20211016021500,22294
VD,20211016022000,22227
VD,20211016022500,22197
VD,20211016023000,22188
VD,20211016023500,22257
VD,20211016024000,22318
VD,20211016024500,22213
VD,20211016025000,22142
VD,20211016025500,22043
VD,20211016030000,21990
VD,20211016030500,21818
VD,20211016031000,21709
VD,20211016031500,21643
VD,20211016032000,21664
VD,20211016032500,21667
VD,20211016033000,21658
VD,20211016033500,21640
VD,20211016034000,21642
VD,20211016034500,21692
VD,20211016035000,21747
VD,20211016035500,21751
VD,20211016040000,21695
VD,20211016040500,21605
VD,20211016041000,21703
VD,20211016041500,21683
VD,20211016042000,21703
VD,20211016042500,21735
VD,20211016043000,21765
VD,20211016043500,21823
VD,20211016044000,21920
VD,20211016044500,22064
VD,20211016045000,22295
VD,20211016045500,22438
VD,20211016050000,22620
VD,20211016050500,22881
VD,20211016051000,23224
VD,20211016051500,23424
VD,20211016052000,23572
VD,20211016052500,23735
VD,20211016053000,23922
VD,20211016053500,24204
VD,20211016054000,24368
VD,20211016054500,24617
VD,20211016055000,24819
VD,20211016055500,25043
VD,20211016060000,25235
VD,20211016060500,25617
VD,20211016061000,26013
VD,20211016061500,26271
VD,20211016062000,26478
VD,20211016062500,26551
VD,20211016063000,26721
VD,20211016063500,26941
VD,20211016064000,27138
VD,20211016064500,27333
VD,20211016065000,27572
VD,20211016065500,27861
VD,20211016070000,28197
VD,20211016070500,28576
VD,20211016071000,28877
VD,20211016071500,29149
VD,20211016072000,29355
VD,20211016072500,29499
VD,20211016073000,29650
VD,20211016073500,29738
VD,20211016074000,29882
VD,20211016074500,30005
VD,20211016075000,30129
VD,20211016075500,30213
VD,20211016080000,30344
VD,20211016080500,30468
VD,20211016081000,30569
VD,20211016081500,30591
VD,20211016082000,30669
VD,20211016082500,30695
VD,20211016083000,30729
VD,20211016083500,30779
VD,20211016084000,30763
VD,20211016084500,30788
VD,20211016085000,30887
VD,20211016085500,30931
VD,20211016090000,30945
VD,20211016090500,31070
VD,20211016091000,31132
VD,20211016091500,31097
VD,20211016092000,31036
VD,20211016092500,30974
VD,20211016093000,30947
VD,20211016093500,30927
VD,20211016094000,30784
VD,20211016094500,30790
VD,20211016095000,30840
VD,20211016095500,30799
VD,20211016100000,30688
VD,20211016100500,30685
VD,20211016101000,30693
VD,20211016101500,30683
VD,20211016102000,30598
VD,20211016102500,30598
VD,20211016103000,30524
VD,20211016103500,30439
VD,20211016104000,30336
VD,20211016104500,30249
VD,20211016105000,30184
VD,20211016105500,30106
VD,20211016110000,30014
VD,20211016110500,30008
VD,20211016111000,30009
VD,20211016111500,29968
VD,20211016112000,29979
VD,20211016112500,29892
VD,20211016113000,29886
VD,20211016113500,29886
VD,20211016114000,29791
VD,20211016114500,29721
VD,20211016115000,29620
VD,20211016115500,29558
VD,20211016120000,29383
VD,20211016120500,29346
VD,20211016121000,29225
VD,20211016121500,29098
VD,20211016122000,28963
VD,20211016122500,28847
VD,20211016123000,28736
VD,20211016123500,28622
VD,20211016124000,28572
VD,20211016124500,28516
VD,20211016125000,28418
VD,20211016125500,28244
VD,20211016130000,28140
VD,20211016130500,28182
VD,20211016131000,28073
VD,20211016131500,28035
VD,20211016132000,28006
VD,20211016132500,27983
VD,20211016133000,27863
VD,20211016133500,27918
VD,20211016134000,27912
VD,20211016134500,27980
VD,20211016135000,28056
VD,20211016135500,28129
VD,20211016140000,28211
VD,20211016140500,28281
VD,20211016141000,28325
VD,20211016141500,28273
VD,20211016142000,28300
VD,20211016142500,28360
VD,20211016143000,28451
VD,20211016143500,28509
VD,20211016144000,28532
VD,20211016144500,28677
VD,20211016145000,28747
VD,20211016145500,28758
VD,20211016150000,28932
VD,20211016150500,29062
VD,20211016151000,29244
VD,20211016151500,29491
VD,20211016152000,29700
VD,20211016152500,29804
VD,20211016153000,29905
VD,20211016153500,30107
VD,20211016154000,30369
VD,20211016154500,30595
VD,20211016155000,30830
VD,20211016155500,31017
VD,20211016160000,31435
VD,20211016160500,31775
VD,20211016161000,31978
VD,20211016161500,32215
VD,20211016162000,32425
VD,20211016162500,32570
VD,20211016163000,32706
VD,20211016163500,32910
VD,20211016164000,32991
VD,20211016164500,33179
VD,20211016165000,33476
VD,20211016165500,33617
VD,20211016170000,33704
VD,20211016170500,33844
VD,20211016171000,34016
VD,20211016171500,34261
VD,20211016172000,34590
VD,20211016172500,34797
VD,20211016173000,34817
VD,20211016173500,34904
VD,20211016174000,34816
VD,20211016174500,34729
VD,20211016175000,34706
VD,20211016175500,34637
VD,20211016180000,34530
VD,20211016180500,34293
VD,20211016181000,34251
VD,20211016181500,34167
VD,20211016182000,34103
VD,20211016182500,33907
VD,20211016183000,33580
VD,20211016183500,33487
VD,20211016184000,33266
VD,20211016184500,33006
VD,20211016185000,32737
VD,20211016185500,32556
VD,20211016190000,32461
VD,20211016190500,32293
VD,20211016191000,32054
VD,20211016191500,31874
VD,20211016192000,31700
VD,20211016192500,31449
VD,20211016193000,31078
VD,20211016193500,31064
VD,20211016194000,30718
VD,20211016194500,30549
VD,20211016195000,30394
VD,20211016195500,30247
VD,20211016200000,30136
VD,20211016200500,29972
VD,20211016201000,29739
VD,20211016201500,29519
VD,20211016202000,29263
VD,20211016202500,29053
VD,20211016203000,28777
VD,20211016203500,28638
VD,20211016204000,28520
VD,20211016204500,28361
VD,20211016205000,28148
VD,20211016205500,27949
VD,20211016210000,27704
VD,20211016210500,27413
VD,20211016211000,27219
VD,20211016211500,26972
VD,20211016212000,26718
VD,20211016212500,26485
VD,20211016213000,26294
VD,20211016213500,26094
VD,20211016214000,25859
VD,20211016214500,25624
VD,20211016215000,25419
VD,20211016215500,25362
VD,20211016220000,25111
VD,20211016220500,24946
VD,20211016221000,24686
VD,20211016221500,24389
VD,20211016222000,23922
VD,20211016222500,23622
VD,20211016223000,23268
VD,20211016223500,23063
VD,20211016224000,22963
VD,20211016224500,22770
VD,20211016225000,22556
VD,20211016225500,22322
VD,20211016230000,22174
VD,20211016230500,22118
VD,20211016231000,21967
VD,20211016231500,21849
VD,20211016232000,21670
VD,20211016232500,21525
VD,20211016233000,21478
VD,20211016233500,21431
VD,20211016234000,21491
VD,20211016234500,21492
VD,20211016235000,21444
VD,20211016235500,21326
VD,20211017000000,21223
VD,20211017000500,21430
VD,20211017001000,21523
VD,20211017001500,21486
VD,20211017002000,21564
VD,20211017002500,21491
VD,20211017003000,21459
VD,20211017003500,21620
VD,20211017004000,21708
VD,20211017004500,21688
VD,20211017005000,21739
VD,20211017005500,21673
VD,20211017010000,21541
VD,20211017010500,21469
VD,20211017011000,21514
VD,20211017011500,21518
VD,20211017012000,21446
VD,20211017012500,21379
VD,20211017013000,21312
VD,20211017013500,21322
VD,20211017014000,21301
VD,20211017014500,21217
VD,20211017015000,21098
VD,20211017015500,20997
VD,20211017020000,20915
VD,20211017020500,20921
VD,20211017021000,20917
VD,20211017021500,20830
VD,20211017022000,20744
VD,20211017022500,20721
VD,20211017023000,20661
VD,20211017023500,20699
VD,20211017024000,20714
VD,20211017024500,20667
VD,20211017025000,20623
VD,20211017025500,20658
VD,20211017030000,20647
VD,20211017030500,20471
VD,20211017031000,20490
VD,20211017031500,20535
VD,20211017032000,20545
VD,20211017032500,20483
VD,20211017033000,20435
VD,20211017033500,20367
VD,20211017034000,20315
VD,20211017034500,20325
VD,20211017035000,20328
VD,20211017035500,20299
VD,20211017040000,20294
